Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
5;1000005;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.26;мужской;0;0;среднее;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000025;Поступление зарплаты на счет;Покупка автомобиля;1;0.45;мужской;1;0;высшее;менеджер среднего звена;>250;1;54;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000045;2НДФЛ;Ремонт;1;0.49;мужской;0;0;высшее;менеджер среднего звена;>250;0;29;35;Информационные технологии;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;61;1;0;0;66;66;0;0;0;0;0;0;0
5;1000065;Форма банка (без печати работодателя);Ремонт;1;0.38;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000085;Поступление зарплаты на счет;Ремонт;0;0.16;мужской;1;0;высшее;менеджер высшего звена;>250;0;101;47;Другое;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0.4;2;3;151;5;0;0;49;86;0;0;0;0;0;0;0
5;1000105;Поступление зарплаты на счет;Ремонт;0;0.2;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;54;37;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.1980676329;0;0;0;0;0.2857142857;2;5;166;7;1;3;7;66;1;0;0;0;0;0;0
5;1000125;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.49;женский;0;0;высшее;специалист;>250;3;36;28;Торговля;ООО;гражданский брак;5;4;4;3;2;0.0275229358;0;0;0;0;0.1;1;9;106;10;0;0;5;57;1;0;0;0;0;0;0
5;1000145;Форма банка (без печати работодателя);Покупка земли;0;0.41;мужской;0;0;высшее;менеджер среднего звена;>250;0;245;56;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000165;2НДФЛ;Ремонт;1;0.45;мужской;3;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;94;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000185;2НДФЛ;Покупка автомобиля;0;0.19;мужской;1;0;второе высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000205;Форма банка (без печати работодателя);Покупка автомобиля;1;0.31;мужской;1;0;высшее;вспомогательный персонал;>250;0;64;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000225;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;0;0;высшее;специалист;>250;0;18;25;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000245;Поступление зарплаты на счет;Ремонт;1;0.43;мужской;0;0;*n.a.*;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000265;Форма банка (без печати работодателя);Ремонт;1;0.18;мужской;0;0;среднее-специальное;специалист;< 50;0;10;51;Торговля;ООО;разведен / разведена;6;6;3;3;0;0;1;0;0;0;0.5;1;1;4;2;0;1;6;7;0;0;0;0;0;0;0
5;1000285;Поступление зарплаты на счет;Ремонт;1;0.43;мужской;0;0;высшее;рабочий;>250;1;6;31;Информационные технологии;ОАО;холост / не замужем;5;5;5;5;5;0.1904761905;0;1;0;0;0.6666666667;2;1;17;3;2;0;3;11;1;0;0;0;0;0;0
5;1000305;Поступление зарплаты на счет;Ремонт;1;0.22;женский;0;0;высшее;менеджер высшего звена;< 50;1;33;28;Другое;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.3333333333;1;2;61;3;0;2;10;31;0;0;0;0;0;0;0
5;1000325;Поступление зарплаты на счет;Ремонт;0;0.47;мужской;0;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000345;Поступление зарплаты на счет;Покупка автомобиля;1;0.43;мужской;0;0;высшее;специалист;>250;0;35;24;Другое;ООО;холост / не замужем;0;0;0;0;0;0;0;1;0;0;1;2;0;18;2;0;0;3;15;0;0;0;0;0;0;0
5;1000365;Форма банка (без печати работодателя);Покупка автомобиля;0;0.53;женский;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000385;2НДФЛ;Покупка автомобиля;1;0.26;мужской;2;0;среднее-специальное;торговый представитель;< 50;0;45;39;Торговля;Индивидуальный предприниматель;женат / замужем;2;2;2;2;2;0;0;0;0;0;1;1;0;14;1;1;0;25;25;0;0;0;0;0;0;0
5;1000405;2НДФЛ;Покупка автомобиля;1;0.53;мужской;0;0;высшее;вспомогательный персонал;>250;0;103;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000425;2НДФЛ;Ремонт;0;0.53;женский;0;0;высшее;вспомогательный персонал;>250;0;79;39;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000445;Форма банка (без печати работодателя);Ремонт;0;0.21;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;18;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000465;Форма банка (без печати работодателя);Отпуск;0;0.44;мужской;0;0;высшее;вспомогательный персонал;< 50;0;49;42;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.1666666667;2;10;151;12;1;1;29;91;0;0;0;0;0;0;0
5;1000485;Поступление зарплаты на счет;Обучение;1;0.59;женский;1;0;высшее;специалист;>250;1;46;48;Торговля;ООО;холост / не замужем;4;2;2;0;0;0.1757322176;1;2;2;1;0.6666666667;8;4;197;12;5;2;0;85;1;0;0;0;0;0;0
5;1000505;Поступление зарплаты на счет;Покупка мебели;0;0.35;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;34;41;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0101010101;0;0;0;0;0.6666666667;4;2;196;6;3;0;29;109;1;0;0;0;0;0;0
5;1000525;2НДФЛ;Ремонт;0;0.23;мужской;2;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1000545;Поступление зарплаты на счет;Покупка бытовой техники;1;0.23;женский;0;0;высшее;специалист;>250;0;65;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
